,datetime,notification_type,notification_title,email_body,outage
253,2016-03-20 21:00:00,Utility,Power Outage - Richmond Town (SI),"Notification issued 3/20/16 at 9:40 PM. Con Edison is responding to a power outage in the Richmond Town section of Staten Island, including parts of ZIP code 10306. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. 

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
254,2016-03-14 17:00:00,Utility,Power Outage - Bay Terrace (SI),"Notification issued 3/14/16 at 5:41 PM. Con Edison is responding to a power outage in the Bay Terrace section of Staten Island, including parts of ZIP codes 10306 & 10308. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
255,2016-03-14 15:00:00,Utility,Power Outage - West Farms (BX),"Notification issued 3/14/16 at 3:32 PM. Con Edison is responding to a power outage in the West Farms section of The Bronx, including parts of ZIP code 10460. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
256,2016-03-13 19:00:00,Utility,Power Outage - West New Brighton (SI),"Notification issued 3/13/16 at 7:25 PM. Con Edison is responding to a power outage in the New Brighton section of Staten Island, including parts of ZIP code 10310. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
257,2016-03-04 04:00:00,Utility,Power Outage - Far Rockaway (QN),"Notification issued 3/4/16 at 4:33 AM. PSEG is responding to a power outage in the Far Rockaway section of Queens. To report a loss of electric service, contact PSEG at 1-800-490-0075. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to PSEG at 1-800-490-0075 or, if you have a speech or hearing impairment, report outages to 1-631-755-6660. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=VPBnRNmDfMc",1
258,2016-02-29 13:00:00,Utility,Power Outage - Meiers Corner (SI),"Notification issued 2/29/16 at 1:00 PM. Con Edison is responding to a power outage in the Meiers Corner section of Staten Island, including parts of ZIP code 10301. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
259,2016-02-28 14:00:00,Utility,Power Outage - Far Rockaway (QN),"Notification issued 2/28/16 at 2:12 PM. PSEG is responding to a power outage in the Far Rockaway section of Queens. To report a loss of electric service, contact PSEG at 1-800-490-0075. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to PSEG at 1-800-490-0075 or, if you have a speech or hearing impairment, report outages to 1-631-755-6660. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=VPBnRNmDfMc",1
260,2016-02-25 16:00:00,Utility,Power Outage - Gravesend (BK),"Notification issued 2/25/16 at 4:10 PM. Con Edison is responding to a power outage in the Gravesend section of Brooklyn, including parts of ZIP codes 11223, 11229, and 11235. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
261,2016-02-25 08:00:00,Utility,Power Outage - Wakefield (BX),"Notification issued 2/25/16 at 8:35 AM. Con Edison is responding to a power outage in the Wakefield section of The Bronx, including parts of ZIP code 10469. To report a loss of electric service, contact Con Edison at 1-800-752-6633. 

If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. 

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
262,2016-02-24 04:00:00,Utility,Power Outage - Rockaway (QN),"Notification issued 2/24/16 at 4:00 AM. PSE&G is responding to a power outage in the Rockaway section of Queens, including parts of ZIP code 11697. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing impairment, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://bit.ly/1u3bxtI.",1
263,2016-02-24 03:00:00,Utility,Power Outage - Rockaway (QN),"Notification issued 2/24/16 at 3:48 AM. PSE&G is responding to a power outage in the Rockaway section of Queens, including parts of ZIP code 11694. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing impairment, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://bit.ly/1u3bxtI.",1
264,2016-02-16 15:00:00,Utility,Power Outage - Rockaway (QN),"Notification issued 2/16/16 at 3:20 PM. PSE&G is responding to a power outage in the Rockaway section of Queens, including parts of ZIP codes 11691, 11692, and 11693. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing impairment, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://bit.ly/1u3bxtI.",1
265,2016-02-16 00:00:00,Utility,Power Outage - Gun Hill (BX),"Notification issued 2/16/16 at 12:58 AM. Con Edison is responding to a power outage in the Gun Hill section of The Bronx, including parts of ZIP codes 10466 and 10470. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
267,2016-02-07 04:00:00,Utility,Power Outage - Ozone Park (QN),"Notification issued 2/7/16 at 4:53 AM.  Con Edison is responding to a power outage in the Ozone Park section of Queens, including parts of ZIP codes 11414 and 11417. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
268,2016-02-05 11:00:00,Utility,Power Outage - Elmhurst (QN),"Notification issued 2/5/16 at 11:30 AM.  Con Edison is responding to a power outage in the Elmhurst section of Queens, including parts of ZIP code 11369. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
269,2016-02-03 21:00:00,Utility,Power Outage - Gravesend (BK),"Notification issued 2/3/16 at 9:05 PM. Con Edison is responding to a power outage in the Gravesend section of Brooklyn, including parts of ZIP code 11223. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
270,2016-02-03 16:00:00,Utility,Power Outage - Sunnyside (SI),"Notification issued 2/3/16 at 4:00 PM. Con Edison is responding to a power outage in the Sunnyside, section of the Staten Island, including parts of ZIP codes 10301 and 10304. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
271,2016-02-03 08:00:00,Utility,Power Outage - Throggs Neck (BX),"Notification issued 2/3/16 at 9:09 AM. Con Edison is responding to a power outage in the Throggs Neck, section of the Bronx, including parts of ZIP code 10465. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
272,2016-02-02 01:00:00,Utility,Power Outage - Allerton Section (BX),"Notification issued 2/2/16 at 1:58 AM. Con Edison is responding to a power outage in the Allerton section of the Bronx, including parts of ZIP code 10469. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
273,2016-01-10 17:00:00,Utility,Power Outage - Gravesend (BK),"Notification issued 1/10/16 at 5:20 PM. Con Edison is responding to a power outage in the Gravesend section of Brooklyn, including parts of ZIP code(s) 11223, 11229, and 11235. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
274,2016-01-10 08:00:00,Utility,Power Outage - New Dorp (SI),"Notification issued 1/10/16 at 8:54 AM. Con Edison is responding to a power outage in the New Dorp section of Staten Island, including parts of ZIP code 10306. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
275,2016-01-10 07:00:00,Utility,Power Outage - Sheepshead Bay (BK,"Notification issued 1/10/16 at 7:42 AM. Con Edison is responding to a power outage in the Sheepshead Bay section of Brooklyn, including parts of ZIP code 11235. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
276,2016-01-05 05:00:00,Utility,Power Outage - Throggs Neck (BX),"Notification issued 1/5/16 at 5:05 AM. Con Edison is responding to a power outage in the Throggs Neck section of The Bronx, including parts of ZIP code 10465. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
277,2015-12-24 19:00:00,Utility,Power Outage - Starrett City (BK),"Notification issued 12/24/15 at 7:06 PM. Con Edison is responding to a power outage in the Starrett City section of Brooklyn, including parts of ZIP code 11239. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
278,2015-12-10 01:00:00,Utility,Power Outage - Throggs Neck Section (BX),"Notification issued 12/10/15 at 1:13 AM. Con Edison is responding to a power outage in the Throggs Neck section of the Bronx, including parts of ZIP code 10465. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
279,2015-11-14 09:00:00,Utility,Power Outage - Douglaston (QN),"Notification issued 11/14/15 at 9:54 AM. Con Edison is responding to a power outage in the Douglaston section of Queens, including parts of ZIP code 11363. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
280,2015-11-13 01:00:00,Utility,Power Outage - Marine Park (BK),"Notification issued 11/13/15 at 1:44 AM. Con Edison is responding to a power outage in the Marine Park section of Brooklyn, including parts of ZIP code 11229. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
281,2015-11-09 18:00:00,Utility,Power Outage - Linden Blvd & Montauk Ave (BK),"Notification issued 11/9/15 at 6:59 PM. Con Edison is responding to a power outage in the East New York section of Brooklyn, including parts of ZIP code 11208. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
282,2015-10-28 17:00:00,Utility,Power Outage - Marine Park (BK),"Notification issued 10/28/15 at 5:20 PM. Con Edison is responding to a power outage in the Marine Park section of Brooklyn, including parts of ZIP code 11229. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
283,2015-10-28 11:00:00,Utility,Power Outage - Dyker Heights (BK),"Notification issued 10/28/15 at 11:11 AM. Con Edison is responding to a power outage in the Dyker Heights section of Brooklyn, including parts of ZIP codes: 11219, 11220 and 11228. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
284,2015-10-09 11:00:00,Utility,Power Outage - Castle Hill (BX),"Notification issued 10/9/15 at 11:00 AM. Con Edison is responding to a power outage in the Castle Hill section of The Bronx, including parts of ZIP code 10473. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
285,2015-10-08 09:00:00,Utility,Power Outage - Rockaway Beach (QN),"Notification issued 10/8/15 at 9:30 AM. PSE&G is responding to a power outage in the Rockaway Beach section of Queens, including areas of ZIP code 11694. To report a loss of electric service, contact PSE&G at 800-490-0075 or online at http://www.psegliny.com/.",1
286,2015-10-06 23:00:00,Utility,Power Outage - Flushing (QN),"Notification issued 10/6/15 at 11:45 PM. Con Edison is responding to a power outage in the Flushing section of Queens, including parts of ZIP codes 11355 and 11367. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
287,2015-10-03 20:00:00,Utility,Power Outage - Bayside (QN),"Notification issued 10/3/15 at 8:15 PM. Con Edison is responding to a power outage in the Bayside section of Queens, including parts of ZIP code 11364. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
288,2015-10-02 22:00:00,Utility,Power Outage - Manor Heights (SI),"Notification issued 10/2/15 at 10:41 PM. Con Edison is responding to a power outage in the Manor Heights section of Staten Island, including parts of ZIP code 10314. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
289,2015-09-30 14:00:00,Utility,Power Outage - Richmond Hill (SI),"Notification issued 9/30/15 at 2:10 PM. Con Edison is responding to a power outage in the Richmond Hill section of Staten Island, including parts of ZIP code 10314. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
290,2015-09-30 03:00:00,Utility,Power Outage - Dyker Heights (BK),"Notification issued 9/30/15 at 3:00 AM. Con Edison is responding to a power outage in the Dyker Heights section in Brooklyn, including parts of ZIP code 11228 and 11209. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
291,2015-09-30 00:00:00,Utility,Power Outage - Ozone Park (QN),"Notification issued 9/29/15 at 11:55 PM. Con Edison is responding to a power outage in the Ozone Park section in Queens, including parts of ZIP code 11416 and 11417 . To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
292,2015-09-16 07:00:00,Utility,Power Outage - Eltingville (SI),"Notification issued 9/16/15 at 7:34 AM. Con Edison is responding to a power outage in the Eltingville section of Staten Island, including parts of ZIP code 10308. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
293,2015-09-13 20:00:00,Utility,Manhole Fires With Power Outages - West 107th St & Broadway (MN),"Notification issued 9/13/15 at 8:14 PM. Due to multiple manhole fires, expect emergency personnel in the vicinity of West 107th Street and Broadway in Manhattan. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
294,2015-09-13 07:00:00,Utility,Power Outage - Middle Village (QN),"Notification issued 9/13/15 at 7:15 AM. Con Edison is responding to a power outage in the Middle Village section of Queens, including parts of ZIP code 11379. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
295,2015-09-12 10:00:00,Utility,Power Outage - Marine Park / Gerritsen Beach (BK),"Notification issued 9/12/15 at 10:00 AM. Con Edison is responding to a power outage in the Marine Park and Gerritsen Beach section of Brooklyn, including parts of ZIP codes 11234, 11235, and 11229. To report a loss of electric service, contact Con Edison at 1-800-752-6633. If you are affected by an outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. Report power outages to Con Edison at 1-800-752-6633 or, if you have a speech or hearing impairment, report outages to 1-800-642-2308. 

To view this message in American Sign Language (ASL) with audio and subtitles, please visit: http://www.youtube.com/watch?v=9FrinpULu74.",1
